auditor_id,name,country,grade,standards,iaf_codes,capacity_days_month
A001,Auditor 1,SE,Associate,"ISO 13485,ISO 27001,ISO 9001","03,09,17,23,33,34",10
A002,Auditor 2,MX,Technical Expert,"ISO 14001,ISO 27001,ISO 9001","03,07,09,18,29,34",18
A003,Auditor 3,CA,Technical Expert,"ISO 14001,ISO 22000,ISO 9001","09,12,21,29,34,37",18
A004,Auditor 4,PL,Associate,"ISO 13485,ISO 14001,ISO 9001","03,07,09,17,23,34",16
A005,Auditor 5,IN,Technical Expert,"ISO 13485,ISO 27001,ISO 45001","07,14,18,21,23,35",18
A006,Auditor 6,PL,Technical Expert,"ISO 22000,ISO 27001,ISO 45001","07,09,14,29,33,37",14
A007,Auditor 7,DE,Technical Expert,"ISO 13485,ISO 27001,ISO 9001","22,23,31,34,35,37",18
A008,Auditor 8,JP,Technical Expert,"ISO 22000,ISO 45001,ISO 9001","03,07,21,30,31,34",16
A009,Auditor 9,BR,Principal,"ISO 27001,ISO 45001,ISO 9001","03,09,14,17,31,37",14
A010,Auditor 10,DE,Associate,"ISO 13485,ISO 22000,ISO 27001","07,12,14,19,24,30",16
A011,Auditor 11,CN,Principal,"ISO 22000,ISO 27001,ISO 45001","07,12,14,18,24,35",12
A012,Auditor 12,IN,Associate,"ISO 14001,ISO 27001,ISO 9001","01,12,19,21,23,29",18
A013,Auditor 13,HU,Principal,"ISO 13485,ISO 14001,ISO 9001","24,30,33,34,35,37",10
A014,Auditor 14,PT,Technical Expert,"ISO 14001,ISO 22000,ISO 9001","03,09,14,17,22,30",10
A015,Auditor 15,US,Associate,"ISO 13485,ISO 45001,ISO 9001","01,07,12,17,24,37",14
A016,Auditor 16,NO,Principal,"ISO 13485,ISO 27001,ISO 9001","07,21,30,31,35,39",12
