cert_id,client_id,client_name,standard,issue_date,expiry_date,status
CB-C050-22000-9957,C050,Hooli Packaging,ISO 22000,2025-06-23,2028-06-22,Active
CB-C021-27001-3767,C021,Soylent Energy,ISO 27001,2024-11-11,2027-11-11,Active
CB-C068-13485-8164,C068,Cyberdyne Packaging,ISO 13485,2025-05-31,2028-05-30,Active
CB-C041-27001-5186,C041,Globex Plastics,ISO 27001,2025-08-16,2028-08-15,Active
CB-C057-13485-9647,C057,Umbrella Tech,ISO 13485,2024-12-10,2027-12-10,Active
CB-C030-22000-3793,C030,Wonka Medical,ISO 22000,2025-07-23,2028-07-22,Active
CB-C027-22000-8046,C027,Gringotts Services,ISO 22000,2025-04-26,2028-04-25,Active
CB-C063-22000-6371,C063,Monarch Pharma,ISO 22000,2024-09-20,2027-09-20,Expired
CB-C024-45001-4802,C024,Dunder Mifflin Pharma,ISO 45001,2025-01-08,2028-01-08,Active
CB-C017-45001-1054,C017,Cyberdyne Foods,ISO 45001,2025-08-18,2028-08-17,Active
CB-C054-22000-4286,C054,Hooli Automotive,ISO 22000,2025-02-26,2028-02-26,Active
CB-C054-22000-7728,C054,Hooli Automotive,ISO 22000,2025-07-09,2028-07-08,Active
CB-C062-45001-2775,C062,Initech Aerospace,ISO 45001,2025-02-19,2028-02-19,Active
CB-C029-22000-7201,C029,Blue Sun Manufacturing,ISO 22000,2025-06-05,2028-06-04,Active
CB-C038-9001-5482,C038,Stark Packaging,ISO 9001,2025-03-31,2028-03-30,Active
CB-C041-27001-4571,C041,Globex Plastics,ISO 27001,2025-04-14,2028-04-13,Active
