client_id,name,country,standard,iaf_code,sites,employees_band,risk_level
C001,Client 1,UK,ISO 22000,22,3,500-1000,High
C002,Client 2,FR,ISO 13485,01,2,>1000,Medium
C003,Client 3,DE,ISO 22000,34,1,>1000,Medium
C004,Client 4,AE,ISO 9001,19,3,50-200,Medium
C005,Client 5,NZ,ISO 14001,34,3,50-200,High
C006,Client 6,JP,ISO 14001,18,4,50-200,Low
C007,Client 7,CZ,ISO 27001,23,1,<50,Medium
C008,Client 8,PT,ISO 45001,17,3,500-1000,High
C009,Client 9,NO,ISO 45001,07,2,<50,Low
C010,Client 10,PT,ISO 14001,22,2,500-1000,High
C011,Client 11,BR,ISO 13485,01,4,200-500,High
C012,Client 12,MX,ISO 22000,09,4,50-200,Medium
C013,Client 13,BR,ISO 14001,29,3,<50,High
C014,Client 14,DK,ISO 27001,24,1,50-200,Low
C015,Client 15,DE,ISO 9001,12,4,50-200,High
C016,Client 16,KR,ISO 13485,31,3,50-200,High
C017,Client 17,RO,ISO 14001,01,1,<50,High
C018,Client 18,AU,ISO 14001,29,2,50-200,Low
C019,Client 19,IT,ISO 14001,21,2,>1000,Medium
C020,Client 20,IT,ISO 13485,29,2,<50,High
C021,Client 21,NO,ISO 27001,35,4,>1000,Low
C022,Client 22,RO,ISO 14001,33,1,500-1000,Low
C023,Client 23,TR,ISO 9001,12,2,50-200,Medium
C024,Client 24,TR,ISO 22000,09,1,200-500,High
C025,Client 25,CZ,ISO 13485,34,4,<50,High
C026,Client 26,CA,ISO 14001,17,3,<50,Low
C027,Client 27,CZ,ISO 27001,34,1,<50,Medium
C028,Client 28,SE,ISO 13485,33,2,200-500,Medium
C029,Client 29,CZ,ISO 13485,31,2,>1000,Medium
C030,Client 30,AR,ISO 13485,17,4,50-200,Medium
C031,Client 31,UK,ISO 27001,30,3,<50,High
C032,Client 32,ES,ISO 27001,07,2,200-500,Low
C033,Client 33,BR,ISO 14001,39,3,50-200,Medium
C034,Client 34,BR,ISO 14001,30,2,<50,Medium
C035,Client 35,BR,ISO 27001,14,2,50-200,High
C036,Client 36,FI,ISO 13485,24,3,500-1000,Low
C037,Client 37,NO,ISO 45001,07,3,<50,Medium
C038,Client 38,RO,ISO 27001,30,1,500-1000,Medium
C039,Client 39,CZ,ISO 13485,21,1,<50,Low
C040,Client 40,BR,ISO 9001,07,3,200-500,Low
