event_id,quote_id,client_id,client_name,standard,iaf_code,start_date,end_date,days,auditor_id,status,stage
E00002,Q0002,C021,Client 21,ISO 27001,35,2025-10-18,2025-10-18,1,A002,Assigned,Surveillance 2
E00003,Q0003,C028,Client 28,ISO 13485,33,2025-10-23,2025-10-25,3,A003,Assigned,Initial - Stage 1
E00009,Q0009,C037,Client 37,ISO 45001,07,2025-10-25,2025-10-25,1,A009,Assigned,Recertification
E00011,Q0011,C002,Client 2,ISO 13485,01,2025-09-18,2025-09-20,3,A011,Assigned,Initial - Stage 1
E00012,Q0012,C034,Client 34,ISO 14001,30,2025-11-08,2025-11-10,3,A012,Assigned,Initial - Stage 1
E00015,Q0015,C040,Client 40,ISO 9001,07,2025-09-20,2025-09-22,3,A015,Assigned,Initial - Stage 1
E00016,Q0016,C026,Client 26,ISO 14001,17,2025-09-26,2025-09-28,3,A016,Assigned,Surveillance 2
E00020,Q0020,C024,Client 24,ISO 22000,09,2025-09-21,2025-09-22,2,A004,Assigned,Surveillance 1
E00022,Q0022,C031,Client 31,ISO 27001,30,2025-10-05,2025-10-07,3,A006,Assigned,Surveillance 2
E00023,Q0023,C028,Client 28,ISO 13485,33,2025-10-22,2025-10-22,1,A007,Assigned,Initial - Stage 2
E00025,Q0025,C015,Client 15,ISO 9001,12,2025-12-08,2025-12-08,1,A009,Assigned,Initial - Stage 2
E00028,Q0028,C001,Client 1,ISO 22000,22,2025-11-05,2025-11-06,2,A012,Assigned,Initial - Stage 1
E00029,Q0029,C002,Client 2,ISO 13485,01,2025-09-17,2025-09-19,3,A013,Assigned,Recertification
E00030,Q0030,C028,Client 28,ISO 13485,33,2025-11-10,2025-11-12,3,A014,Assigned,Initial - Stage 1
E00034,Q0034,C020,Client 20,ISO 13485,29,2025-10-28,2025-10-30,3,A002,Assigned,Surveillance 1
E00037,Q0037,C007,Client 7,ISO 27001,23,2025-10-21,2025-10-22,2,A005,Assigned,Surveillance 2
E00039,Q0039,C023,Client 23,ISO 9001,12,2025-09-27,2025-09-28,2,A007,Assigned,Recertification
E00040,Q0040,C024,Client 24,ISO 22000,09,2025-09-27,2025-09-27,1,A008,Assigned,Recertification
E00042,Q0042,C007,Client 7,ISO 27001,23,2025-11-04,2025-11-05,2,A010,Assigned,Initial - Stage 2
E00043,Q0043,C039,Client 39,ISO 13485,21,2025-09-18,2025-09-20,3,A011,Assigned,Surveillance 2
E00047,Q0047,C012,Client 12,ISO 22000,09,2025-11-30,2025-12-01,2,A015,Assigned,Initial - Stage 1
E00048,Q0048,C030,Client 30,ISO 13485,17,2025-10-17,2025-10-17,1,A016,Assigned,Initial - Stage 1
E00052,Q0052,C032,Client 32,ISO 27001,07,2025-11-05,2025-11-07,3,A004,Assigned,Surveillance 2
E00054,Q0054,C001,Client 1,ISO 22000,22,2025-10-25,2025-10-26,2,A006,Assigned,Surveillance 1
E00060,Q0060,C020,Client 20,ISO 13485,29,2025-11-29,2025-11-29,1,A012,Assigned,Initial - Stage 2
